iso3c,country,year,life_expectancy,co2_emissions,gdp_per_cap,region,income,longitude,latitude
LAO,Lao PDR,2008,63.271,0.156465264891791,1010.39066541789,Z4,XN,102.177,18.5826
LAO,Lao PDR,2009,63.797,0.204563037935486,1068.16851075414,Z4,XN,102.177,18.5826
LAO,Lao PDR,2003,60.502,0.197269323463591,763.158775210105,Z4,XN,102.177,18.5826
LAO,Lao PDR,2004,61.065,0.246098341848268,799.41190476348,Z4,XN,102.177,18.5826
MMR,Myanmar,1995,58.46,0.158535595902454,242.343701319655,Z4,XN,95.9562,21.914
MMR,Myanmar,2004,61.294,0.256047135186281,530.791337372721,Z4,XN,95.9562,21.914
MMR,Myanmar,2005,61.607,0.236950745827511,598.067487858928,Z4,XN,95.9562,21.914
MMR,Myanmar,2006,61.938,0.260626660081276,671.454940189373,Z4,XN,95.9562,21.914
MMR,Myanmar,2007,62.294,0.259460989420407,747.11625115708,Z4,XN,95.9562,21.914
MMR,Myanmar,2008,62.678,0.196314065300128,818.651189440207,Z4,XN,95.9562,21.914
MMR,Myanmar,1996,58.78,0.163253832666932,254.762024745733,Z4,XN,95.9562,21.914
MMR,Myanmar,1997,59.101,0.166543989056578,265.722762547382,Z4,XN,95.9562,21.914
MMR,Myanmar,1998,59.422,0.177114337217904,277.708842496046,Z4,XN,95.9562,21.914
MMR,Myanmar,1999,59.744,0.194224184074356,304.302544223668,Z4,XN,95.9562,21.914
MMR,Myanmar,2000,60.063,0.21592426287146,342.141262631952,Z4,XN,95.9562,21.914
MMR,Myanmar,2001,60.377,0.184727810114617,376.87666314893,Z4,XN,95.9562,21.914
MMR,Myanmar,2002,60.685,0.193027629706832,417.975777499119,Z4,XN,95.9562,21.914
MMR,Myanmar,2003,60.989,0.204488463724469,471.42543031664,Z4,XN,95.9562,21.914
MMR,Myanmar,2015,65.81,NA,1335.20387198505,Z4,XN,95.9562,21.914
MMR,Myanmar,2016,66.205,NA,1403.76711784706,Z4,XN,95.9562,21.914
MMR,Myanmar,2017,66.558,NA,1489.17174935003,Z4,XN,95.9562,21.914
MMR,Myanmar,2018,66.867,NA,1571.90721650413,Z4,XN,95.9562,21.914
MMR,Myanmar,2009,63.089,0.20359911003237,899.24264424396,Z4,XN,95.9562,21.914
MMR,Myanmar,2010,63.525,0.24733732565351,979.051630004942,Z4,XN,95.9562,21.914
MMR,Myanmar,2011,63.983,0.280397343707268,1025.8922978384,Z4,XN,95.9562,21.914
MMR,Myanmar,2012,64.453,0.215325359401302,1092.05650932938,Z4,XN,95.9562,21.914
MMR,Myanmar,2013,64.921,0.248014679190382,1174.05408699753,Z4,XN,95.9562,21.914
MMR,Myanmar,2014,65.378,0.413758590222221,1257.4836156234,Z4,XN,95.9562,21.914
MYS,Malaysia,1995,71.834,5.91245287944073,6277.61096658541,Z4,XT,101.684,3.12433
MYS,Malaysia,1996,71.972,5.96522212108483,6731.40296554104,Z4,XT,101.684,3.12433
MYS,Malaysia,1997,72.11,5.78872194339574,7041.67093870597,Z4,XT,101.684,3.12433
MYS,Malaysia,1998,72.257,5.16339586411797,6360.65557042613,Z4,XT,101.684,3.12433
MYS,Malaysia,2007,73.931,6.91670062951973,8605.01751665582,Z4,XT,101.684,3.12433
MYS,Malaysia,2008,74.118,7.49125550934304,8850.00922148094,Z4,XT,101.684,3.12433
MYS,Malaysia,2009,74.305,7.17057116196696,8559.2344996317,Z4,XT,101.684,3.12433
MYS,Malaysia,2010,74.493,7.74517590466688,9040.56625117172,Z4,XT,101.684,3.12433
